,"Fall 2016","Spring 2017","Fall 2017","Spring 2018","Fall 2018","Spring 2019","Fall 2019","Spring 2020","Fall 2020","Spring 2021","Fall 2021","Spring 2022","Fall 2022","Spring 2023","Fall 2023","Spring 2024","Fall 2024","Spring 2025","Fall 2025"
"Total Sessions","148","186","174","164","150","144","197","110","134","142","108","127","152","175","171","173","250","293","225"
"Total Attendees","3652","4607","5377","3588","4304","3001","4173","2742","2512","2726","5524","2465","3097","3098","5048","2948","6133","6377","4488"
"Total Course Based Sessions","125","141","136","125","133","113","165","102","125","139","99","110","124","128","143","134","180","185","121"
"Total Course Based Attendees","3425","4168","5061","3285","4070","2706","3846","2657","2387","2710","5422","2012","2639","2325","4586","2353","4552","4565","2692"
"Unique Course Based Attendees","2586","2064","2521","2132","1963","1666","2488","1718","1893","1501","2866","1548","1903","1510","3135","1508","3802","2127","1745"
"In-Person Sessions","121","139","134","122","129","112","162","78","41","15","77","17","104","115","129","115","164","168","110"
"In-Person Attendees","3350","4132","5028","3153","3947","2680","3794","2115","668","322","4481","330","2231","2128","4033","2098","4287","4253","2462"
"Online Sessions","4","0","1","3","1","0","2","6","43","116","7","10","7","1","4","1","7","3","1"
"Online Attendees","75","0","12","132","83","0","36","110","947","2269","117","156","92","12","101","16","98","48","7"
"Hybrid Sessions","0","0","0","0","0","0","0","0","1","0","6","8","8","3","5","4","3","5","3"
"Hybrid Attendees","0","0","0","0","0","0","0","0","15","0","108","227","246","43","141","28","33","130","49"
"Asynchronous Sessions","0","2","1","0","3","1","1","18","40","8","9","75","5","9","5","14","6","5","7"
"Asynchronous Attendees","0","36","21","0","40","26","16","432","757","119","716","1299","70","142","311","211","134","76","174"
"English 101 and 102 Sessions","41","90","57","64","63","68","85","60","78","110","45","72","66","95","80","92","110","151","77"
"English 101 and 102 Attendees","1040","2381","1376","1617","1544","1705","2072","1472","1505","2051","4059","1134","1315","1733","2735","1692","2849","3659","1560"
"Upper Division Sessions","60","39","60","45","57","35","57","36","43","28","48","31","47","29","43","23","42","26","35"
"Upper Division Attendees","1802","1416","3189","1145","2172","713","1190","1081","831","638","1211","700","1129","524","1214","396","774","506","695"
"Lower Division Sessions","13","8","13","11","12","7","14","6","4","1","4","6","10","3","14","6","21","0","9"
"Lower Division Attendees","398","288","384","435","343","238","472","104","51","21","140","174","170","27","432","74","790","0","437"
"K-12 Sessions","9","1","5","5","1","2","4","0","0","0","1","0","1","1","1","0","2","0","0"
"K-12 Attendees","155","23","97","88","11","42","82","0","0","0","8","0","25","41","11","0","53","0","0"
"Total Workshop Sessions","10","39","33","35","15","26","30","7","9","3","8","16","25","47","26","36","66","63","76"
"Total Workshop Attendees","139","385","269","244","178","214","284","57","125","16","98","452","399","773","434","551","1515","1618","1664"
"Renfrew Sessions","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","13","15"
"Renfrew Attendees","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","780","742","899"
"ETIL Sessions","0","0","0","0","0","0","0","0","0","0","3","12","15","33","14","23","19","32","23"
"ETIL Attendees","0","0","0","0","0","0","0","0","0","0","17","423","274","558","244","402","338","589","394"
"Tech Talks Sessions","6","10","5","10","9","7","10","5","4","2","2","1","4","11","1","5","5","5","3"
"Tech Talks Attendees","89","104","55","108","95","55","88","40","52","12","22","8","46","176","5","46","43","32","37"
"Grad Student Essentials Sessions","0","0","3","0","1","0","4","0","5","0","3","0","6","0","2","1","4","0","4"
"Grad Student Essentials Attendees","0","0","33","0","50","0","87","0","73","0","59","0","79","0","23","5","40","0","34"
"MILL Workshops Sessions","3","27","23","24","4","18","15","0","0","0","0","3","0","2","6","7","25","9","22"
"MILL Workshops Attendees","48","263","146","132","27","155","106","0","0","0","0","21","0","30","135","98","274","168","160"
"ACRL: Synchronous Presentations","136","180","168","161","145","143","194","91","94","133","96","49","146","166","164","156","234","241","196"
"ACRL: Synchronous Attendance","3584","4541","5309","3544","4208","2975","4114","2282","1755","2600","4782","1135","3020","2956","4709","2693","5799","6082","4189"
"ACRL: Asynchronous Presentations","0","2","1","0","3","1","1","18","40","9","11","77","5","9","5","14","6","5","7"
"ACRL: Asynchronous Attendance","0","36","21","0","40","26","16","432","757","126","738","1329","70","142","311","211","134","76","174"
"ACRL: All Group Presentations","136","182","169","161","148","144","195","109","134","142","107","126","151","175","169","170","246","251","203"
"ACRL: All Group Attendance","3584","4577","5330","3544","4248","3001","4130","2714","2512","2726","5520","2464","3090","3098","5020","2904","6067","6237","4363"
"ACRL: Consultations/RAP","12","4","4","3","2","0","2","1","0","0","1","1","1","0","2","3","4","42","22"
